indexkey,Symbol,Date,Volume_Traded
0,AAPL,2021-09-27,74150729.0
1,AAPL,2021-09-28,108972340.0
2,AAPL,2021-09-29,74602044.0
3,AAPL,2021-09-30,89056664.0
4,AAPL,2021-10-01,94639581.0
5,AAPL,2021-10-04,98322008.0
6,AAPL,2021-10-05,80861062.0
7,AAPL,2021-10-06,83221119.0
8,AAPL,2021-10-07,61732656.0
9,AAPL,2021-10-08,58773155.0
10,AAPL,2021-10-11,64452219.0
11,AAPL,2021-10-12,73035859.0
12,AAPL,2021-10-13,78762721.0
13,AAPL,2021-10-14,69907100.0
14,AAPL,2021-10-15,67940334.0
15,AAPL,2021-10-18,85589175.0
16,AAPL,2021-10-19,76378894.0
17,AAPL,2021-10-20,58418788.0
18,AAPL,2021-10-21,61420990.0
19,AAPL,2021-10-22,58883443.0
20,AAPL,2021-10-25,50720556.0
21,AAPL,2021-10-26,60893395.0
22,AAPL,2021-10-27,56094929.0
23,AAPL,2021-10-28,100077888.0
24,AAPL,2021-10-29,124953168.0
25,AAPL,2021-11-01,74588258.0
26,AAPL,2021-11-02,69121987.0
27,AAPL,2021-11-03,54511534.0
28,AAPL,2021-11-04,60394616.0
29,AAPL,2021-11-05,65463883.0
30,AAPL,2021-11-08,55020868.0
31,AAPL,2021-11-09,56787930.0
32,AAPL,2021-11-10,65187092.0
33,AAPL,2021-11-11,40999950.0
34,AAPL,2021-11-12,63804008.0
35,AAPL,2021-11-15,59222803.0
36,AAPL,2021-11-16,59256210.0
37,AAPL,2021-11-17,88807000.0
38,AAPL,2021-11-18,137827673.0
39,AAPL,2021-11-19,117305597.0
40,AAPL,2021-11-22,117467889.0
41,AAPL,2021-11-23,96041899.0
42,AAPL,2021-11-24,69463623.0
43,AAPL,2021-11-26,76959752.0
44,AAPL,2021-11-29,88748217.0
45,AAPL,2021-11-30,174048056.0
46,AAPL,2021-12-01,152423003.0
47,AAPL,2021-12-02,136739174.0
48,AAPL,2021-12-03,118023116.0
49,AAPL,2021-12-06,107496982.0
50,AAPL,2021-12-07,120405352.0
51,AAPL,2021-12-08,116998901.0
52,AAPL,2021-12-09,108923739.0
53,AAPL,2021-12-10,115402731.0
54,AAPL,2021-12-13,153237019.0
55,AAPL,2021-12-14,139380382.0
56,AAPL,2021-12-15,131063257.0
57,AAPL,2021-12-16,150185843.0
58,AAPL,2021-12-17,195923441.0
59,AAPL,2021-12-20,107499114.0
60,AAPL,2021-12-21,91185905.0
61,AAPL,2021-12-22,92135303.0
62,AAPL,2021-12-23,68356567.0
63,AAPL,2021-12-27,74919582.0
64,AAPL,2021-12-28,79144339.0
65,AAPL,2021-12-29,62348931.0
66,AAPL,2021-12-30,59773014.0
67,AAPL,2021-12-31,64062261.0
68,AAPL,2022-01-03,104701220.0
69,AAPL,2022-01-04,99310438.0
70,AAPL,2022-01-05,94537602.0
71,AAPL,2022-01-06,96903955.0
72,AAPL,2022-01-07,86709147.0
73,AAPL,2022-01-10,106765552.0
74,AAPL,2022-01-11,76138312.0
75,AAPL,2022-01-12,74805173.0
76,AAPL,2022-01-13,84505760.0
77,AAPL,2022-01-14,80440780.0
78,AAPL,2022-01-18,91168729.0
79,AAPL,2022-01-19,94814990.0
80,AAPL,2022-01-20,91420515.0
81,AAPL,2022-01-21,122848858.0
82,AAPL,2022-01-24,162706686.0
83,AAPL,2022-01-25,115798367.0
84,AAPL,2022-01-26,108275308.0
85,AAPL,2022-01-27,121954638.0
86,AAPL,2022-01-28,179935660.0
87,AAPL,2022-01-31,115541590.0
88,AAPL,2022-02-01,86213911.0
89,AAPL,2022-02-02,84914256.0
90,AAPL,2022-02-03,89418074.0
91,AAPL,2022-02-04,82465400.0
92,AAPL,2022-02-07,77251204.0
93,AAPL,2022-02-08,74829217.0
94,AAPL,2022-02-09,71285038.0
95,AAPL,2022-02-10,90865899.0
96,AAPL,2022-02-11,98670687.0
97,AAPL,2022-02-14,86185530.0
98,AAPL,2022-02-15,64286320.0
99,AAPL,2022-02-16,61177398.0
100,AAPL,2022-02-17,69589344.0
101,AAPL,2022-02-18,82772674.0
102,AAPL,2022-02-22,91162758.0
103,AAPL,2022-02-23,90009247.0
104,AAPL,2022-02-24,141147540.0
105,AAPL,2022-02-25,91974222.0
106,AAPL,2022-02-28,95056629.0
107,AAPL,2022-03-01,83474425.0
108,AAPL,2022-03-02,79724750.0
109,AAPL,2022-03-03,76678441.0
110,AAPL,2022-03-04,83819592.0
111,AAPL,2022-03-07,96418845.0
112,AAPL,2022-03-08,131148280.0
113,AAPL,2022-03-09,91454905.0
114,AAPL,2022-03-10,105342033.0
115,AAPL,2022-03-11,96970102.0
116,AAPL,2022-03-14,108732111.0
117,AAPL,2022-03-15,92964302.0
118,AAPL,2022-03-16,102300157.0
119,AAPL,2022-03-17,75615376.0
120,AAPL,2022-03-18,123511692.0
121,AAPL,2022-03-21,95811352.0
122,AAPL,2022-03-22,81532007.0
123,AAPL,2022-03-23,98062674.0
124,AAPL,2022-03-24,90131418.0
125,AAPL,2022-03-25,80546156.0
126,AAPL,2022-03-28,90371916.0
127,AAPL,2022-03-29,100589440.0
128,AAPL,2022-03-30,92633154.0
129,AAPL,2022-03-31,103049285.0
130,AAPL,2022-04-01,78751328.0
131,AAPL,2022-04-04,76545983.0
132,AAPL,2022-04-05,73401786.0
133,AAPL,2022-04-06,89058782.0
134,AAPL,2022-04-07,77594650.0
135,AAPL,2022-04-08,76575508.0
136,AAPL,2022-04-11,72246706.0
137,AAPL,2022-04-12,79265181.0
138,AAPL,2022-04-13,70618925.0
139,AAPL,2022-04-14,75329376.0
140,AAPL,2022-04-18,69023941.0
141,AAPL,2022-04-19,67723833.0
142,AAPL,2022-04-20,67929814.0
143,AAPL,2022-04-21,87227768.0
144,AAPL,2022-04-22,84882424.0
145,AAPL,2022-04-25,96046376.0
146,AAPL,2022-04-26,95623240.0
147,AAPL,2022-04-27,88063191.0
148,AAPL,2022-04-28,130216792.0
149,AAPL,2022-04-29,131747571.0
150,AAPL,2022-05-02,123055265.0
151,AAPL,2022-05-03,88966526.0
152,AAPL,2022-05-04,108256503.0
153,AAPL,2022-05-05,130525275.0
154,AAPL,2022-05-06,116124647.0
155,AAPL,2022-05-09,131577921.0
156,AAPL,2022-05-10,115366736.0
157,AAPL,2022-05-11,142689825.0
158,AAPL,2022-05-12,182602041.0
159,AAPL,2022-05-13,113990852.0
160,AAPL,2022-05-16,86643781.0
161,AAPL,2022-05-17,78336254.0
162,AAPL,2022-05-18,109742890.0
163,AAPL,2022-05-19,136095640.0
164,AAPL,2022-05-20,137426125.0
165,AAPL,2022-05-23,117726265.0
166,AAPL,2022-05-24,104132746.0
167,AAPL,2022-05-25,92482696.0
168,AAPL,2022-05-26,90601548.0
169,AAPL,2022-05-27,90978503.0
170,AAPL,2022-05-31,103718416.0
171,AAPL,2022-06-01,74286635.0
172,AAPL,2022-06-02,72348055.0
173,AAPL,2022-06-03,88570289.0
174,AAPL,2022-06-06,71598380.0
175,AAPL,2022-06-07,67808150.0
176,AAPL,2022-06-08,53950201.0
177,AAPL,2022-06-09,69472976.0
178,AAPL,2022-06-10,91566637.0
179,AAPL,2022-06-13,122207099.0
180,AAPL,2022-06-14,84784326.0
