Symbol,Date,Opening_Price_USD,Closing_Price_USD,High_USD,Low_USD
AAPL,2021-09-27,145.47,145.37,145.96,143.82
AAPL,2021-09-28,143.25,141.91,144.75,141.69
AAPL,2021-09-29,142.47,142.83,144.45,142.03
AAPL,2021-09-30,143.66,141.5,144.38,141.28
AAPL,2021-10-01,141.9,142.65,142.92,139.11
AAPL,2021-10-04,141.76,139.14,142.21,138.27
AAPL,2021-10-05,139.49,141.11,142.24,139.36
AAPL,2021-10-06,139.47,142.0,142.15,138.37
AAPL,2021-10-07,143.06,143.29,144.22,142.72
AAPL,2021-10-08,144.03,142.9,144.18,142.56
AAPL,2021-10-11,142.27,142.81,144.81,141.81
AAPL,2021-10-12,143.23,141.51,143.25,141.04
AAPL,2021-10-13,141.24,140.91,141.4,139.2
AAPL,2021-10-14,142.11,143.76,143.88,141.51
AAPL,2021-10-15,143.77,144.84,144.9,143.51
AAPL,2021-10-18,143.45,146.55,146.84,143.16
AAPL,2021-10-19,147.01,148.76,149.17,146.55
AAPL,2021-10-20,148.7,149.26,149.75,148.12
AAPL,2021-10-21,148.81,149.48,149.64,147.87
AAPL,2021-10-22,149.69,148.69,150.18,148.64
AAPL,2021-10-25,148.68,148.64,149.37,147.62
AAPL,2021-10-26,149.33,149.32,150.84,149.01
AAPL,2021-10-27,149.36,148.85,149.73,148.49
AAPL,2021-10-28,149.82,152.57,153.17,149.72
AAPL,2021-10-29,147.22,149.8,149.94,146.41
AAPL,2021-11-01,148.99,148.96,149.7,147.8
AAPL,2021-11-02,148.66,150.02,151.57,148.65
AAPL,2021-11-03,150.39,151.49,151.97,149.82
AAPL,2021-11-04,151.58,150.96,152.43,150.64
AAPL,2021-11-05,151.89,151.28,152.2,150.06
AAPL,2021-11-08,151.41,150.44,151.57,150.16
AAPL,2021-11-09,150.2,150.81,151.43,150.06
AAPL,2021-11-10,150.02,147.92,150.13,147.85
AAPL,2021-11-11,148.96,147.87,149.43,147.68
AAPL,2021-11-12,148.43,149.99,150.4,147.48
AAPL,2021-11-15,150.37,150.0,151.88,149.43
AAPL,2021-11-16,149.94,151.0,151.49,149.34
AAPL,2021-11-17,151.0,153.49,155.0,150.99
AAPL,2021-11-18,153.71,157.87,158.67,153.05
AAPL,2021-11-19,157.65,160.55,161.02,156.53
AAPL,2021-11-22,161.68,161.02,165.7,161.0
AAPL,2021-11-23,161.12,161.41,161.8,159.06
AAPL,2021-11-24,160.75,161.94,162.14,159.64
AAPL,2021-11-26,159.57,156.81,160.45,156.36
AAPL,2021-11-29,159.37,160.24,161.19,158.79
AAPL,2021-11-30,159.99,165.3,165.52,159.92
AAPL,2021-12-01,167.48,164.77,170.3,164.53
AAPL,2021-12-02,158.74,163.76,164.2,157.8
AAPL,2021-12-03,164.02,161.84,164.96,159.72
AAPL,2021-12-06,164.29,165.32,167.88,164.28
AAPL,2021-12-07,169.08,171.18,171.58,168.34
AAPL,2021-12-08,172.13,175.08,175.96,170.7
AAPL,2021-12-09,174.91,174.56,176.75,173.92
AAPL,2021-12-10,175.21,179.45,179.63,174.69
AAPL,2021-12-13,181.12,175.74,182.13,175.53
AAPL,2021-12-14,175.25,174.33,177.74,172.21
AAPL,2021-12-15,175.11,179.3,179.5,172.31
AAPL,2021-12-16,179.28,172.26,181.14,170.75
AAPL,2021-12-17,169.93,171.14,173.47,169.69
AAPL,2021-12-20,168.28,169.75,170.58,167.46
AAPL,2021-12-21,171.56,172.99,173.2,169.12
AAPL,2021-12-22,173.04,175.64,175.86,172.15
AAPL,2021-12-23,175.85,176.28,176.85,175.27
AAPL,2021-12-27,177.09,180.33,180.42,177.07
AAPL,2021-12-28,180.16,179.29,181.33,178.53
AAPL,2021-12-29,179.33,179.38,180.63,178.14
AAPL,2021-12-30,179.47,178.2,180.57,178.09
AAPL,2021-12-31,178.09,177.57,179.23,177.26
AAPL,2022-01-03,177.83,182.01,182.88,177.71
AAPL,2022-01-04,182.63,179.7,182.94,179.12
AAPL,2022-01-05,179.61,174.92,180.17,174.64
AAPL,2022-01-06,172.7,172.0,175.3,171.64
AAPL,2022-01-07,172.89,172.17,174.14,171.03
AAPL,2022-01-10,169.08,172.19,172.5,168.17
AAPL,2022-01-11,172.32,175.08,175.18,170.82
AAPL,2022-01-12,176.12,175.53,177.18,174.82
AAPL,2022-01-13,175.78,172.19,176.62,171.79
AAPL,2022-01-14,171.34,173.07,173.78,171.09
AAPL,2022-01-18,171.51,169.8,172.54,169.41
AAPL,2022-01-19,170.0,166.23,171.08,165.94
AAPL,2022-01-20,166.98,164.51,169.68,164.18
AAPL,2022-01-21,164.42,162.41,166.33,162.3
AAPL,2022-01-24,160.02,161.62,162.3,154.7
AAPL,2022-01-25,158.98,159.78,162.76,157.02
AAPL,2022-01-26,163.5,159.69,164.39,157.82
AAPL,2022-01-27,162.45,159.22,163.84,158.28
AAPL,2022-01-28,165.71,170.33,170.35,162.8
AAPL,2022-01-31,170.16,174.78,175.0,169.51
AAPL,2022-02-01,174.01,174.61,174.84,172.31
AAPL,2022-02-02,174.75,175.84,175.88,173.33
AAPL,2022-02-03,174.48,172.9,176.24,172.12
AAPL,2022-02-04,171.68,172.39,174.1,170.68
AAPL,2022-02-07,172.86,171.66,173.95,170.95
AAPL,2022-02-08,171.73,174.83,175.35,171.43
AAPL,2022-02-09,176.05,176.28,176.65,174.9
AAPL,2022-02-10,174.14,172.12,175.48,171.55
AAPL,2022-02-11,172.33,168.64,173.08,168.04
AAPL,2022-02-14,167.37,168.88,169.58,166.56
AAPL,2022-02-15,170.97,172.79,172.95,170.25
AAPL,2022-02-16,171.85,172.55,173.34,170.05
AAPL,2022-02-17,171.03,168.88,171.91,168.47
AAPL,2022-02-18,169.82,167.3,170.54,166.19
AAPL,2022-02-22,164.98,164.32,166.69,162.15
AAPL,2022-02-23,165.54,160.07,166.15,159.75
AAPL,2022-02-24,152.58,162.74,162.85,152.0
AAPL,2022-02-25,163.84,164.85,165.12,160.87
AAPL,2022-02-28,163.06,165.12,165.42,162.43
AAPL,2022-03-01,164.7,163.2,166.6,161.97
AAPL,2022-03-02,164.39,166.56,167.36,162.95
AAPL,2022-03-03,168.47,166.23,168.91,165.55
AAPL,2022-03-04,164.49,163.17,165.55,162.1
AAPL,2022-03-07,163.36,159.3,165.02,159.04
AAPL,2022-03-08,158.82,157.44,162.88,155.8
AAPL,2022-03-09,161.48,162.95,163.41,159.41
AAPL,2022-03-10,160.2,158.52,160.39,155.98
AAPL,2022-03-11,158.93,154.73,159.28,154.5
AAPL,2022-03-14,151.45,150.62,154.12,150.1
AAPL,2022-03-15,150.9,155.09,155.57,150.38
AAPL,2022-03-16,157.05,159.59,160.0,154.46
AAPL,2022-03-17,158.61,160.62,161.0,157.63
AAPL,2022-03-18,160.51,163.98,164.48,159.76
AAPL,2022-03-21,163.51,165.38,166.35,163.02
AAPL,2022-03-22,165.51,168.82,169.42,164.91
AAPL,2022-03-23,167.99,170.21,172.64,167.65
AAPL,2022-03-24,171.06,174.07,174.14,170.21
AAPL,2022-03-25,173.88,174.72,175.28,172.75
AAPL,2022-03-28,172.17,175.6,175.73,172.0
AAPL,2022-03-29,176.69,178.96,179.01,176.34
AAPL,2022-03-30,178.55,177.77,179.61,176.7
AAPL,2022-03-31,177.84,174.61,178.03,174.4
AAPL,2022-04-01,174.03,174.31,174.88,171.94
AAPL,2022-04-04,174.57,178.44,178.49,174.44
AAPL,2022-04-05,177.5,175.06,178.3,174.42
AAPL,2022-04-06,172.36,171.83,173.63,170.13
AAPL,2022-04-07,171.16,172.14,173.36,169.85
AAPL,2022-04-08,171.78,170.09,171.78,169.2
AAPL,2022-04-11,168.71,165.75,169.03,165.5
AAPL,2022-04-12,168.02,167.66,169.87,166.64
AAPL,2022-04-13,167.39,170.4,171.04,166.77
AAPL,2022-04-14,170.62,165.29,171.27,165.04
AAPL,2022-04-18,163.92,165.07,166.6,163.57
AAPL,2022-04-19,165.02,167.4,167.82,163.91
