Symbol,Date,Open,Close,High,Low,Volume
AAPL,2021-09-27, $145.47 , $145.37 , $145.96 , $143.82 ,"74,150,729"
AAPL,2021-09-28, $143.25 , $141.91 , $144.75 , $141.69 ,"108,972,340"
AAPL,2021-09-29, $142.47 , $142.83 , $144.45 , $142.03 ,"74,602,044"
AAPL,2021-09-30, $143.66 , $141.50 , $144.38 , $141.28 ,"89,056,664"
AAPL,2021-10-01, $141.90 , $142.65 , $142.92 , $139.11 ,"94,639,581"
AAPL,2021-10-04, $141.76 , $139.14 , $142.21 , $138.27 ,"98,322,008"
AAPL,2021-10-05, $139.49 , $141.11 , $142.24 , $139.36 ,"80,861,062"
AAPL,2021-10-06, $139.47 , $142.00 , $142.15 , $138.37 ,"83,221,119"
AAPL,2021-10-07, $143.06 , $143.29 , $144.22 , $142.72 ,"61,732,656"
AAPL,2021-10-08, $144.03 , $142.90 , $144.18 , $142.56 ,"58,773,155"
AAPL,2021-10-11, $142.27 , $142.81 , $144.81 , $141.81 ,"64,452,219"
AAPL,2021-10-12, $143.23 , $141.51 , $143.25 , $141.04 ,"73,035,859"
AAPL,2021-10-13, $141.24 , $140.91 , $141.40 , $139.20 ,"78,762,721"
AAPL,2021-10-14, $142.11 , $143.76 , $143.88 , $141.51 ,"69,907,100"
AAPL,2021-10-15, $143.77 , $144.84 , $144.90 , $143.51 ,"67,940,334"
AAPL,2021-10-18, $143.45 , $146.55 , $146.84 , $143.16 ,"85,589,175"
AAPL,2021-10-19, $147.01 , $148.76 , $149.17 , $146.55 ,"76,378,894"
AAPL,2021-10-20, $148.70 , $149.26 , $149.75 , $148.12 ,"58,418,788"
AAPL,2021-10-21, $148.81 , $149.48 , $149.64 , $147.87 ,"61,420,990"
AAPL,2021-10-22, $149.69 , $148.69 , $150.18 , $148.64 ,"58,883,443"
AAPL,2021-10-25, $148.68 , $148.64 , $149.37 , $147.62 ,"50,720,556"
AAPL,2021-10-26, $149.33 , $149.32 , $150.84 , $149.01 ,"60,893,395"
AAPL,2021-10-27, $149.36 , $148.85 , $149.73 , $148.49 ,"56,094,929"
AAPL,2021-10-28, $149.82 , $152.57 , $153.17 , $149.72 ,"100,077,888"
AAPL,2021-10-29, $147.22 , $149.80 , $149.94 , $146.41 ,"124,953,168"
AAPL,2021-11-01, $148.99 , $148.96 , $149.70 , $147.80 ,"74,588,258"
AAPL,2021-11-02, $148.66 , $150.02 , $151.57 , $148.65 ,"69,121,987"
AAPL,2021-11-03, $150.39 , $151.49 , $151.97 , $149.82 ,"54,511,534"
AAPL,2021-11-04, $151.58 , $150.96 , $152.43 , $150.64 ,"60,394,616"
AAPL,2021-11-05, $151.89 , $151.28 , $152.20 , $150.06 ,"65,463,883"
AAPL,2021-11-08, $151.41 , $150.44 , $151.57 , $150.16 ,"55,020,868"
AAPL,2021-11-09, $150.20 , $150.81 , $151.43 , $150.06 ,"56,787,930"
AAPL,2021-11-10, $150.02 , $147.92 , $150.13 , $147.85 ,"65,187,092"
AAPL,2021-11-11, $148.96 , $147.87 , $149.43 , $147.68 ,"40,999,950"
AAPL,2021-11-12, $148.43 , $149.99 , $150.40 , $147.48 ,"63,804,008"
AAPL,2021-11-15, $150.37 , $150.00 , $151.88 , $149.43 ,"59,222,803"
AAPL,2021-11-16, $149.94 , $151.00 , $151.49 , $149.34 ,"59,256,210"
AAPL,2021-11-17, $151.00 , $153.49 , $155.00 , $150.99 ,"88,807,000"
AAPL,2021-11-18, $153.71 , $157.87 , $158.67 , $153.05 ,"137,827,673"
AAPL,2021-11-19, $157.65 , $160.55 , $161.02 , $156.53 ,"117,305,597"
AAPL,2021-11-22, $161.68 , $161.02 , $165.70 , $161.00 ,"117,467,889"
AAPL,2021-11-23, $161.12 , $161.41 , $161.80 , $159.06 ,"96,041,899"
AAPL,2021-11-24, $160.75 , $161.94 , $162.14 , $159.64 ,"69,463,623"
AAPL,2021-11-26, $159.57 , $156.81 , $160.45 , $156.36 ,"76,959,752"
AAPL,2021-11-29, $159.37 , $160.24 , $161.19 , $158.79 ,"88,748,217"
AAPL,2021-11-30, $159.99 , $165.30 , $165.52 , $159.92 ,"174,048,056"
AAPL,2021-12-01, $167.48 , $164.77 , $170.30 , $164.53 ,"152,423,003"
AAPL,2021-12-02, $158.74 , $163.76 , $164.20 , $157.80 ,"136,739,174"
AAPL,2021-12-03, $164.02 , $161.84 , $164.96 , $159.72 ,"118,023,116"
AAPL,2021-12-06, $164.29 , $165.32 , $167.88 , $164.28 ,"107,496,982"
AAPL,2021-12-07, $169.08 , $171.18 , $171.58 , $168.34 ,"120,405,352"
AAPL,2021-12-08, $172.13 , $175.08 , $175.96 , $170.70 ,"116,998,901"
AAPL,2021-12-09, $174.91 , $174.56 , $176.75 , $173.92 ,"108,923,739"
AAPL,2021-12-10, $175.21 , $179.45 , $179.63 , $174.69 ,"115,402,731"
AAPL,2021-12-13, $181.12 , $175.74 , $182.13 , $175.53 ,"153,237,019"
AAPL,2021-12-14, $175.25 , $174.33 , $177.74 , $172.21 ,"139,380,382"
AAPL,2021-12-15, $175.11 , $179.30 , $179.50 , $172.31 ,"131,063,257"
AAPL,2021-12-16, $179.28 , $172.26 , $181.14 , $170.75 ,"150,185,843"
AAPL,2021-12-17, $169.93 , $171.14 , $173.47 , $169.69 ,"195,923,441"
AAPL,2021-12-20, $168.28 , $169.75 , $170.58 , $167.46 ,"107,499,114"
AAPL,2021-12-21, $171.56 , $172.99 , $173.20 , $169.12 ,"91,185,905"
AAPL,2021-12-22, $173.04 , $175.64 , $175.86 , $172.15 ,"92,135,303"
AAPL,2021-12-23, $175.85 , $176.28 , $176.85 , $175.27 ,"68,356,567"
AAPL,2021-12-27, $177.09 , $180.33 , $180.42 , $177.07 ,"74,919,582"
AAPL,2021-12-28, $180.16 , $179.29 , $181.33 , $178.53 ,"79,144,339"
AAPL,2021-12-29, $179.33 , $179.38 , $180.63 , $178.14 ,"62,348,931"
AAPL,2021-12-30, $179.47 , $178.20 , $180.57 , $178.09 ,"59,773,014"
AAPL,2021-12-31, $178.09 , $177.57 , $179.23 , $177.26 ,"64,062,261"
AAPL,2022-01-03, $177.83 , $182.01 , $182.88 , $177.71 ,"104,701,220"
AAPL,2022-01-04, $182.63 , $179.70 , $182.94 , $179.12 ,"99,310,438"
AAPL,2022-01-05, $179.61 , $174.92 , $180.17 , $174.64 ,"94,537,602"
AAPL,2022-01-06, $172.70 , $172.00 , $175.30 , $171.64 ,"96,903,955"
AAPL,2022-01-07, $172.89 , $172.17 , $174.14 , $171.03 ,"86,709,147"
AAPL,2022-01-10, $169.08 , $172.19 , $172.50 , $168.17 ,"106,765,552"
AAPL,2022-01-11, $172.32 , $175.08 , $175.18 , $170.82 ,"76,138,312"
AAPL,2022-01-12, $176.12 , $175.53 , $177.18 , $174.82 ,"74,805,173"
AAPL,2022-01-13, $175.78 , $172.19 , $176.62 , $171.79 ,"84,505,760"
AAPL,2022-01-14, $171.34 , $173.07 , $173.78 , $171.09 ,"80,440,780"
AAPL,2022-01-18, $171.51 , $169.80 , $172.54 , $169.41 ,"91,168,729"
AAPL,2022-01-19, $170.00 , $166.23 , $171.08 , $165.94 ,"94,814,990"
AAPL,2022-01-20, $166.98 , $164.51 , $169.68 , $164.18 ,"91,420,515"
AAPL,2022-01-21, $164.42 , $162.41 , $166.33 , $162.30 ,"122,848,858"
AAPL,2022-01-24, $160.02 , $161.62 , $162.30 , $154.70 ,"162,706,686"
AAPL,2022-01-25, $158.98 , $159.78 , $162.76 , $157.02 ,"115,798,367"
AAPL,2022-01-26, $163.50 , $159.69 , $164.39 , $157.82 ,"108,275,308"
AAPL,2022-01-27, $162.45 , $159.22 , $163.84 , $158.28 ,"121,954,638"
AAPL,2022-01-28, $165.71 , $170.33 , $170.35 , $162.80 ,"179,935,660"
AAPL,2022-01-31, $170.16 , $174.78 , $175.00 , $169.51 ,"115,541,590"
AAPL,2022-02-01, $174.01 , $174.61 , $174.84 , $172.31 ,"86,213,911"
AAPL,2022-02-02, $174.75 , $175.84 , $175.88 , $173.33 ,"84,914,256"
AAPL,2022-02-03, $174.48 , $172.90 , $176.24 , $172.12 ,"89,418,074"
AAPL,2022-02-04, $171.68 , $172.39 , $174.10 , $170.68 ,"82,465,400"
AAPL,2022-02-07, $172.86 , $171.66 , $173.95 , $170.95 ,"77,251,204"
AAPL,2022-02-08, $171.73 , $174.83 , $175.35 , $171.43 ,"74,829,217"
AAPL,2022-02-09, $176.05 , $176.28 , $176.65 , $174.90 ,"71,285,038"
AAPL,2022-02-10, $174.14 , $172.12 , $175.48 , $171.55 ,"90,865,899"
AAPL,2022-02-11, $172.33 , $168.64 , $173.08 , $168.04 ,"98,670,687"
AAPL,2022-02-14, $167.37 , $168.88 , $169.58 , $166.56 ,"86,185,530"
AAPL,2022-02-15, $170.97 , $172.79 , $172.95 , $170.25 ,"64,286,320"
AAPL,2022-02-16, $171.85 , $172.55 , $173.34 , $170.05 ,"61,177,398"
AAPL,2022-02-17, $171.03 , $168.88 , $171.91 , $168.47 ,"69,589,344"
AAPL,2022-02-18, $169.82 , $167.30 , $170.54 , $166.19 ,"82,772,674"
AAPL,2022-02-22, $164.98 , $164.32 , $166.69 , $162.15 ,"91,162,758"
AAPL,2022-02-23, $165.54 , $160.07 , $166.15 , $159.75 ,"90,009,247"
AAPL,2022-02-24, $152.58 , $162.74 , $162.85 , $152.00 ,"141,147,540"
AAPL,2022-02-25, $163.84 , $164.85 , $165.12 , $160.87 ,"91,974,222"
AAPL,2022-02-28, $163.06 , $165.12 , $165.42 , $162.43 ,"95,056,629"
AAPL,2022-03-01, $164.70 , $163.20 , $166.60 , $161.97 ,"83,474,425"
AAPL,2022-03-02, $164.39 , $166.56 , $167.36 , $162.95 ,"79,724,750"
AAPL,2022-03-03, $168.47 , $166.23 , $168.91 , $165.55 ,"76,678,441"
AAPL,2022-03-04, $164.49 , $163.17 , $165.55 , $162.10 ,"83,819,592"
AAPL,2022-03-07, $163.36 , $159.30 , $165.02 , $159.04 ,"96,418,845"
AAPL,2022-03-08, $158.82 , $157.44 , $162.88 , $155.80 ,"131,148,280"
AAPL,2022-03-09, $161.48 , $162.95 , $163.41 , $159.41 ,"91,454,905"
AAPL,2022-03-10, $160.20 , $158.52 , $160.39 , $155.98 ,"105,342,033"
AAPL,2022-03-11, $158.93 , $154.73 , $159.28 , $154.50 ,"96,970,102"
AAPL,2022-03-14, $151.45 , $150.62 , $154.12 , $150.10 ,"108,732,111"
AAPL,2022-03-15, $150.90 , $155.09 , $155.57 , $150.38 ,"92,964,302"
AAPL,2022-03-16, $157.05 , $159.59 , $160.00 , $154.46 ,"102,300,157"
AAPL,2022-03-17, $158.61 , $160.62 , $161.00 , $157.63 ,"75,615,376"
AAPL,2022-03-18, $160.51 , $163.98 , $164.48 , $159.76 ,"123,511,692"
AAPL,2022-03-21, $163.51 , $165.38 , $166.35 , $163.02 ,"95,811,352"
AAPL,2022-03-22, $165.51 , $168.82 , $169.42 , $164.91 ,"81,532,007"
AAPL,2022-03-23, $167.99 , $170.21 , $172.64 , $167.65 ,"98,062,674"
AAPL,2022-03-24, $171.06 , $174.07 , $174.14 , $170.21 ,"90,131,418"
AAPL,2022-03-25, $173.88 , $174.72 , $175.28 , $172.75 ,"80,546,156"
AAPL,2022-03-28, $172.17 , $175.60 , $175.73 , $172.00 ,"90,371,916"
AAPL,2022-03-29, $176.69 , $178.96 , $179.01 , $176.34 ,"100,589,440"
AAPL,2022-03-30, $178.55 , $177.77 , $179.61 , $176.70 ,"92,633,154"
AAPL,2022-03-31, $177.84 , $174.61 , $178.03 , $174.40 ,"103,049,285"
AAPL,2022-04-01, $174.03 , $174.31 , $174.88 , $171.94 ,"78,751,328"
AAPL,2022-04-04, $174.57 , $178.44 , $178.49 , $174.44 ,"76,545,983"
AAPL,2022-04-05, $177.50 , $175.06 , $178.30 , $174.42 ,"73,401,786"
AAPL,2022-04-06, $172.36 , $171.83 , $173.63 , $170.13 ,"89,058,782"
AAPL,2022-04-07, $171.16 , $172.14 , $173.36 , $169.85 ,"77,594,650"
AAPL,2022-04-08, $171.78 , $170.09 , $171.78 , $169.20 ,"76,575,508"
AAPL,2022-04-11, $168.71 , $165.75 , $169.03 , $165.50 ,"72,246,706"
AAPL,2022-04-12, $168.02 , $167.66 , $169.87 , $166.64 ,"79,265,181"
AAPL,2022-04-13, $167.39 , $170.40 , $171.04 , $166.77 ,"70,618,925"
AAPL,2022-04-14, $170.62 , $165.29 , $171.27 , $165.04 ,"75,329,376"
AAPL,2022-04-18, $163.92 , $165.07 , $166.60 , $163.57 ,"69,023,941"
AAPL,2022-04-19, $165.02 , $167.40 , $167.82 , $163.91 ,"67,723,833"
AAPL,2022-04-20, $168.76 , $167.23 , $168.88 , $166.10 ,"67,929,814"
AAPL,2022-04-21, $168.91 , $166.42 , $171.53 , $165.91 ,"87,227,768"
AAPL,2022-04-22, $166.46 , $161.79 , $167.87 , $161.50 ,"84,882,424"
