Stock,Date,Close,Open,High,Volume
MSFT,2021-09-20,299.35,296.33,300.90,120872685.00
MSFT,2021-09-27,289.10,296.14,296.47,155541590.00
MSFT,2021-10-04,294.85,287.40,296.64,122462501.00
MSFT,2021-10-11,304.21,292.92,304.45,113344507.00
MSFT,2021-10-18,309.16,303.57,311.09,91315937.00
MSFT,2021-10-25,331.62,309.36,332.00,159314433.00
MSFT,2021-11-01,336.06,331.36,338.79,121622673.00
MSFT,2021-11-08,336.72,337.30,338.72,108386202.00
MSFT,2021-11-15,343.11,337.54,345.10,101090157.00
MSFT,2021-11-22,329.68,344.62,349.67,106955242.00
MSFT,2021-11-29,323.01,334.94,339.28,177395495.00
MSFT,2021-12-06,342.54,323.95,343.00,146125332.00
MSFT,2021-12-13,323.80,340.68,343.79,191737796.00
MSFT,2021-12-20,334.69,320.05,336.39,97516470.00
MSFT,2021-12-27,336.32,335.46,344.30,84645720.00
MSFT,2022-01-03,314.04,335.35,338.00,174012812.00
MSFT,2022-01-10,310.20,309.49,323.41,193260851.00
MSFT,2022-01-18,296.03,304.07,313.91,181733045.00
MSFT,2022-01-24,308.26,292.20,308.50,352537899.00
MSFT,2022-01-31,305.94,308.95,315.12,202857381.00
MSFT,2022-02-07,295.04,306.17,311.93,176800964.00
MSFT,2022-02-14,287.93,293.77,300.87,160446684.00
MSFT,2022-02-22,297.31,285.00,297.63,169083691.00
MSFT,2022-02-28,289.86,294.31,303.13,157402366.00
MSFT,2022-03-07,280.07,288.53,289.69,184358475.00
MSFT,2022-03-14,300.43,280.34,301.00,176939419.00
MSFT,2022-03-21,303.68,298.89,305.50,128717220.00
MSFT,2022-03-28,309.42,304.33,315.95,148667745.00
MSFT,2022-04-04,296.97,310.09,315.11,143376031.00
MSFT,2022-04-11,279.83,291.79,292.61,115664768.00
MSFT,2022-04-18,274.03,278.91,293.30,124842772.00
MSFT,2022-04-25,277.52,273.29,290.98,216395484.00
MSFT,2022-05-02,274.73,277.71,290.88,175769738.00
MSFT,2022-05-09,261.12,270.06,273.75,221997169.00
MSFT,2022-05-16,252.56,259.96,268.33,164627282.00
MSFT,2022-05-23,273.24,255.49,273.34,142680141.00
MSFT,2022-05-31,270.02,272.53,277.69,135187036.00
MSFT,2022-06-06,252.99,272.06,274.18,120518929.00
MSFT,2022-06-13,247.65,245.11,255.30,184152944.00
MSFT,2022-06-21,267.70,250.26,267.98,115674192.00
MSFT,2022-06-27,259.58,268.21,268.30,126633760.00
MSFT,2022-07-05,267.66,256.16,269.06,87314678.00
MSFT,2022-07-11,256.72,265.65,266.53,139761854.00
MSFT,2022-07-18,260.36,259.75,265.33,113061843.00
MSFT,2022-07-25,280.74,261.00,282.00,172010083.00
MSFT,2022-08-01,282.91,277.82,283.80,102685912.00
MSFT,2022-08-08,291.91,284.05,291.91,109536514.00
MSFT,2022-08-15,286.15,291.00,294.18,92198119.00
MSFT,2022-08-22,268.09,282.08,282.46,104858212.00
MSFT,2022-08-29,256.06,265.85,267.40,114016260.00
MSFT,2022-09-06,264.46,256.20,265.23,87868043.00
MSFT,2022-09-12,244.74,265.78,267.45,147336678.00
MSFT,2022-09-19,238.95,242.47,247.66,82112787.00
AAPL,2021-09-20,146.92,143.80,147.47,394033205.00
AAPL,2021-09-27,142.65,145.47,145.96,441421358.00
AAPL,2021-10-04,142.90,141.76,144.22,382910000.00
AAPL,2021-10-11,144.84,142.27,144.90,354098233.00
AAPL,2021-10-18,148.69,143.45,150.18,340691290.00
AAPL,2021-10-25,149.80,148.68,153.17,392739936.00
AAPL,2021-11-01,151.28,148.99,152.43,324080278.00
AAPL,2021-11-08,149.99,151.41,151.57,281799848.00
AAPL,2021-11-15,160.55,150.37,161.02,462419283.00
AAPL,2021-11-22,156.81,161.68,165.70,359933163.00
AAPL,2021-11-29,161.84,159.37,170.30,669981566.00
AAPL,2021-12-06,179.45,164.29,179.63,569227705.00
AAPL,2021-12-13,171.14,181.12,182.13,769789942.00
AAPL,2021-12-20,176.28,168.28,176.85,359176889.00
AAPL,2021-12-27,177.57,177.09,181.33,340248127.00
AAPL,2022-01-03,172.17,177.83,182.94,482162362.00
AAPL,2022-01-10,173.07,169.08,177.18,422655577.00
AAPL,2022-01-18,162.41,171.51,172.54,400253092.00
AAPL,2022-01-24,170.33,160.02,170.35,688670659.00
AAPL,2022-01-31,172.39,170.16,176.24,458553231.00
AAPL,2022-02-07,168.64,172.86,176.65,412902045.00
AAPL,2022-02-14,167.30,167.37,173.34,364011266.00
AAPL,2022-02-22,164.85,164.98,166.69,414293767.00
AAPL,2022-02-28,163.17,163.06,168.91,418753837.00
AAPL,2022-03-07,154.73,163.36,165.02,521334165.00
AAPL,2022-03-14,163.98,151.45,164.48,503123638.00
AAPL,2022-03-21,174.72,163.51,175.28,446083607.00
AAPL,2022-03-28,174.31,172.17,179.61,465395123.00
AAPL,2022-04-04,170.09,174.57,178.49,393176709.00
AAPL,2022-04-11,165.29,168.71,171.27,297460188.00
AAPL,2022-04-18,161.79,163.92,171.53,376787780.00
AAPL,2022-04-25,157.65,161.12,166.20,541697170.00
AAPL,2022-05-02,157.28,156.71,166.48,566928216.00
AAPL,2022-05-09,147.11,154.93,156.74,686227375.00
AAPL,2022-05-16,137.59,145.55,149.77,548244690.00
AAPL,2022-05-23,149.64,137.79,149.68,495921758.00
AAPL,2022-05-31,145.38,149.07,151.74,338923395.00
AAPL,2022-06-06,137.13,147.03,149.87,354396344.00
AAPL,2022-06-13,131.56,132.87,137.34,541006195.00
AAPL,2022-06-21,141.66,133.42,141.91,315960327.00
AAPL,2022-06-27,138.93,142.70,143.49,373781666.00
AAPL,2022-07-05,147.04,137.77,147.55,278295402.00
AAPL,2022-07-11,150.17,145.67,150.86,366480107.00
AAPL,2022-07-18,154.09,150.74,156.28,360988692.00
AAPL,2022-07-25,162.51,154.01,163.63,370548915.00
AAPL,2022-08-01,165.35,161.01,167.19,322415021.00
AAPL,2022-08-08,172.10,166.37,172.17,318856922.00
AAPL,2022-08-15,171.52,171.52,176.15,322647151.00
AAPL,2022-08-22,163.62,169.69,171.05,307194601.00
AAPL,2022-08-29,155.81,161.15,162.90,390398905.00
AAPL,2022-09-06,157.37,156.47,157.82,314169270.00
AAPL,2022-09-12,150.70,159.59,164.26,568337936.00
AAPL,2022-09-19,153.72,149.31,158.74,290860832.00
GOOG,2021-09-20,142.63,139.00,142.90,5367017.00
GOOG,2021-09-27,136.46,141.59,142.50,7556112.00
GOOG,2021-10-04,140.06,135.70,140.32,5629992.00
GOOG,2021-10-11,141.68,139.80,142.20,4910199.00
GOOG,2021-10-18,138.63,141.21,144.25,4742755.00
GOOG,2021-10-25,148.27,138.81,149.12,8128196.00
GOOG,2021-11-01,149.24,148.17,150.57,5820911.00
GOOG,2021-11-08,149.65,150.00,151.03,4374139.00
GOOG,2021-11-15,149.95,150.00,151.85,4762919.00
GOOG,2021-11-22,142.81,150.14,150.74,3810851.00
GOOG,2021-11-29,142.52,144.30,146.86,7217530.00
GOOG,2021-12-06,148.68,143.57,149.61,5231949.00
GOOG,2021-12-13,142.80,148.44,148.56,7348406.00
GOOG,2021-12-20,147.14,140.68,148.57,3603731.00
GOOG,2021-12-27,144.68,147.46,148.43,3959730.00
GOOG,2022-01-03,137.00,144.48,146.61,7312554.00
GOOG,2022-01-10,139.79,135.10,143.19,6581475.00
GOOG,2022-01-18,130.09,136.60,138.40,5602351.00
GOOG,2022-01-24,133.29,126.03,133.37,9586705.00
GOOG,2022-01-31,143.02,134.20,152.10,14058203.00
GOOG,2022-02-07,134.13,143.71,143.85,8965972.00
GOOG,2022-02-14,130.47,133.37,137.95,7090337.00
GOOG,2022-02-22,134.52,129.99,135.39,6736940.00
GOOG,2022-02-28,132.12,133.28,136.71,6126694.00
GOOG,2022-03-07,130.48,131.90,134.20,7858540.00
GOOG,2022-03-14,136.80,130.57,136.91,8124937.00
GOOG,2022-03-21,141.52,136.85,141.96,6077272.00
